number	text
1	what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .
2	what are the structural and aeroelastic problems associated with flight of high speed aircraft .
4	what problems of heat conduction in composite slabs have been solved so far .
8	can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium .
12	is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack .
13	what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.
18	are real-gas transport properties for air available over a wide range of enthalpies and densities .
23	how can the aerodynamic performance of channel flow ground effect machines be calculated .
29	material properties of photoelastic materials .
32	can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem .
34	does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results .
35	has anyone formally determined the influence of joule heating,  produced by the induced current,  in magnetohydrodynamic free convection flows under general conditions .
160	panels subjected to aerodynamic heating .
170	is there any information on how the addition of a /boat-tail/ affects the normal force on the body of various angles of incidence .
171	what are the aerodynamic interference effects on the fin lift and body lift of a fin-body combination .
173	what is the effect of initial axisymmetric deviations from circularity on the non linear (large-deflection) load-deflection response of cylinders under hydrostatic pressure .
175	are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode .
176	what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading .
183	jet interference with supersonic flow  -dash experimental papers .
184	thrust vector control by fluid injection -dash papers .
189	has anyone programmed a pump design method for a high-speed digital computer .
196	what are the flutter characteristics of the exposed skin panels of the x-15 vertical stabilizer when subjected to aerodynamic heating .
200	what agreement is found between theoretically predicted instability times and experimentally measured collapse times for compressed columns in creep .
201	theoretical studies of creep buckling .
203	is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory .
204	what are the experimental results for the creep buckling of columns .
209	has the effect of the change of initial pressure due to deformation,  on the frequencies of vibration of circular cylindrical shells been investigated .
210	what are the discontinuity stresses at junctions in pressurized structures .
211	what analytical solutions are available for stresses in edge-loaded shells of revolution .
212	what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels .
213	what general solutions for the stresses in pressurized shells of revolution are available .
214	can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness .
215	what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .
217	what are the equations which define the stability of simply supported corrugated core sandwich cylinders .
218	papers on small deflection theory for buckling of sandwich cylinders .
219	has anyone developed an analysis which accurately establishes the large deflection behaviour of conical shells .
223	what is the magnitude of second-order wing-body interference at high supersonic mach number .
224	what is the best theoretical method for calculating pressure on the surface of a wing alone .
225	how can the effect of the boundary-layer on wing pressure be calculated, and what is its magnitude .
